Drug_ID,Gene_ID,Disease_ID
765,508,1441
766,509,3866
766,509,4409
766,509,3801
766,509,2557
767,145,5356
770,125,271
771,456,1429
469,179,5089
469,179,315
469,179,4500
469,179,4836
469,179,3850
469,179,903
469,179,2888
469,179,290
773,58,4237
773,58,2097
775,26,2638
775,26,3272
775,26,5259
777,74,3705
779,106,1501
780,511,194
780,511,725
780,511,759
572,45,5634
572,45,3146
783,513,3454
254,515,3675
484,21,3070
253,17,765
253,17,4229
253,17,5290
253,17,1708
253,17,5087
253,17,3136
253,17,5355
786,145,5356
788,65,284
788,65,415
788,65,5660
417,517,323
417,517,5625
417,517,2600
789,55,4977
790,26,2638
790,26,3272
790,26,5259
791,518,4112
794,459,5117
794,459,3258
794,459,928
798,53,3928
798,53,5211
799,523,2587
801,48,2661
801,48,4640
801,48,4966
771,74,3705
809,26,2638
809,26,3272
809,26,5259
811,17,765
811,17,4229
811,17,5290
811,17,1708
811,17,5087
811,17,3136
811,17,5355
812,177,1888
813,240,2831
814,531,2033
814,531,5467
532,8,5185
532,8,5148
532,8,847
816,534,5638
614,57,2085
614,57,2521
614,57,4813
568,145,5356
544,536,5535
544,536,1960
818,106,1501
117,8,5185
117,8,5148
117,8,847
174,459,5117
174,459,3258
174,459,928
819,537,4964
819,537,4924
819,537,311
819,537,1688
85,17,765
85,17,4229
85,17,5290
85,17,1708
85,17,5087
85,17,3136
85,17,5355
820,366,1853
820,366,2477
441,8,5185
441,8,5148
441,8,847
822,539,2549
823,541,5623
823,541,3747
826,469,590
826,469,3988
827,22,2101
827,22,4178
827,22,2385
827,22,4291
338,17,765
338,17,4229
338,17,5290
338,17,1708
338,17,5087
338,17,3136
338,17,5355
828,456,1429
95,8,5185
95,8,5148
95,8,847
83,413,5132
773,100,3292
829,67,1301
830,17,765
830,17,4229
830,17,5290
830,17,1708
830,17,5087
830,17,3136
830,17,5355
433,544,979
832,546,5470
832,546,5159
833,197,2706
278,547,705
278,547,1140
278,547,4415
278,547,4046
278,547,2394
278,547,1629
278,547,4744
315,8,5185
315,8,5148
315,8,847
835,55,4977
836,65,284
836,65,415
836,65,5660
837,8,5185
837,8,5148
837,8,847
838,87,1121
839,549,3396
839,549,4758
840,21,3070
841,74,3705
842,52,2050
843,48,2661
843,48,4640
843,48,4966
127,550,3874
844,74,3705
845,57,2085
845,57,2521
845,57,4813
299,551,1789
696,325,53
696,325,3471
696,325,4838
847,356,4298
847,356,5107
847,356,5664
686,74,3705
850,553,601
850,553,541
852,554,2732
38,221,2432
856,392,4105
859,558,1713
859,558,5361
859,558,5181
859,558,4721
859,558,5622
859,558,5162
859,558,1112
859,558,2659
462,261,5443
860,6,4293
861,17,765
861,17,4229
861,17,5290
861,17,1708
861,17,5087
861,17,3136
861,17,5355
862,560,5571
868,564,4685
659,45,5634
659,45,3146
869,565,389
869,565,3007
869,565,5311
196,77,5628
196,77,5484
870,23,5421
872,17,765
872,17,4229
872,17,5290
872,17,1708
872,17,5087
872,17,3136
872,17,5355
873,568,3291
874,17,765
874,17,4229
874,17,5290
874,17,1708
874,17,5087
874,17,3136
874,17,5355
710,77,5628
710,77,5484
878,290,2356
879,571,2068
879,571,809
459,139,1929
881,329,159
881,329,4837
195,353,5522
884,17,765
884,17,4229
884,17,5290
884,17,1708
884,17,5087
884,17,3136
884,17,5355
197,221,2432
886,574,3549
888,221,2432
890,21,3070
891,8,5185
891,8,5148
891,8,847
892,575,4802
895,518,4112
897,8,5185
897,8,5148
897,8,847
173,579,3906
173,579,3115
173,579,2625
819,580,1544
902,388,4645
903,581,5453
903,581,5346
904,209,1879
904,209,4419
904,209,2429
905,17,765
905,17,4229
905,17,5290
905,17,1708
905,17,5087
905,17,3136
905,17,5355
906,145,5356
208,17,765
208,17,4229
208,17,5290
208,17,1708
208,17,5087
208,17,3136
208,17,5355
909,586,78
909,586,2604
909,586,3197
911,145,5356
359,413,5132
914,328,4784
155,56,2443
155,56,5586
155,56,4313
155,56,2612
155,56,5284
155,56,5661
38,245,1386
916,262,5031
164,56,2443
164,56,5586
164,56,4313
164,56,2612
164,56,5284
164,56,5661
919,17,765
919,17,4229
919,17,5290
919,17,1708
919,17,5087
919,17,3136
919,17,5355
921,537,4964
921,537,4924
921,537,311
921,537,1688
787,8,5185
787,8,5148
787,8,847
173,317,1269
923,56,2443
923,56,5586
923,56,4313
923,56,2612
923,56,5284
923,56,5661
924,56,2443
924,56,5586
924,56,4313
924,56,2612
924,56,5284
924,56,5661
925,591,2840
928,594,2468
929,125,271
930,595,219
930,595,3443
934,596,3565
935,468,2900
935,468,4193
173,597,3477
173,597,468
173,597,1891
173,597,2086
173,597,5669
173,597,2
936,17,765
936,17,4229
936,17,5290
936,17,1708
936,17,5087
936,17,3136
936,17,5355
937,98,2904
939,180,2959
943,8,5185
943,8,5148
943,8,847
944,77,5628
